Kunst- und Keramikmarkt in Berlin-Marzahn,https://www.weihnachtsmaerkte-in-deutschland.de/kunst-und-keramikmarkt-in-berlin-marzahn.html,ab 09.11.2019
Christmas Garden Berlin,https://www.weihnachtsmaerkte-in-deutschland.de/christmas-garden-berlin.html,ab 15.11.2019
Weihnachtsmarkt in der Fußgängerzone Wilmersdorfer Straße in Berlin,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsmarkt-in-der-fussgaengerzone-wilmersdorfer-strasse-in-berlin.html,ab 25.11.2019
Weihnachtsmarkt an der Gedächtniskirche in Berlin-Charlottenburg,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsmarkt-an-der-gedaechtniskirche-in-berlin-charlottenburg.html,ab 25.11.2019
CJD Adventsmarkt in Berlin,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsbasar-des-cjd-in-berlin.html,ab 25.11.2019
Weihnachtsmarkt Spandauer Weihnachtstraum in Berlin-Spandau,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsmarkt-spandauer-weihnachtstraum-in-berlin-spandau.html,ab 25.11.2019
Weihnachtsmarkt bei Späth in Berlin-Treptow,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsmarkt-bei-spaeth-in-berlin-treptow.html,ab 30.11.2019
Schwedischer Weihnachtsmarkt in Berlin-Wilmersdorf,https://www.weihnachtsmaerkte-in-deutschland.de/schwedischer-weihnachtsmarkt-in-berlin-wilmersdorf.html,ab 30.11.2019
Weihnachts- und Umweltmarkt in Berlin-Mitte,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachts-und-umweltmarkt-in-berlin-mitte.html,ab 30.11.2019
Adventsmarkt auf der Domäne Dahlem in Berlin,https://www.weihnachtsmaerkte-in-deutschland.de/adventsmarkt-auf-der-domaene-dahlem-in-berlin.html,ab 30.11.2019
Weihnachtsmarkt für Hunde in Berlin,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsmarkt-fuer-hunde-in-berlin.html,ab 30.11.2019
Weihnachtsmarkt rund um die Grunewaldkirche in Berlin-Wilmersdorf,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsmarkt-rund-um-die-grunewaldkirche-in-berlin-wilmersdorf.html,am 01.12.2019
Weihnachtsmarkt im Evangelischen Johannesstift Berlin,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsmarkt-im-evangelischen-johannesstift-berlin.html,am 01.12.2019
Öko-Adventsmarkt in Berlin-Pankow,https://www.weihnachtsmaerkte-in-deutschland.de/oeko-adventsmarkt-in-berlin-pankow.html,am 01.12.2019
Lichtermarkt in Berlin-Lichtenrade,https://www.weihnachtsmaerkte-in-deutschland.de/lichtermarkt-in-berlin-lichtenrade.html,am 01.12.2019
Alt-Rixdorfer Weihnachtsmarkt in Berlin-Neukölln,https://www.weihnachtsmaerkte-in-deutschland.de/alt-rixdorfer-weihnachtsmarkt-in-berlin-neukoelln.html,ab 06.12.2019
Weihnachtsmarkt bei Späth in Berlin-Treptow,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsmarkt-bei-spaeth-in-berlin-treptow.html,ab 07.12.2019
Adventsmarkt auf der Domäne Dahlem in Berlin,https://www.weihnachtsmaerkte-in-deutschland.de/adventsmarkt-auf-der-domaene-dahlem-in-berlin.html,ab 07.12.2019
KiezWeihnacht in Berlin-Friedrichshain,https://www.weihnachtsmaerkte-in-deutschland.de/kiezweihnacht-in-berlin-friedrichshain.html,ab 07.12.2019
Weihnachts- und Umweltmarkt in Berlin-Mitte,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachts-und-umweltmarkt-in-berlin-mitte.html,ab 07.12.2019
HOLY SHIT SHOPPING Adventsmarkt in Berlin,https://www.weihnachtsmaerkte-in-deutschland.de/holyshitshopping-adventsmarkt-in-berlin.html,ab 07.12.2019
Öko-Adventsmarkt in Berlin-Pankow,https://www.weihnachtsmaerkte-in-deutschland.de/oeko-adventsmarkt-in-berlin-pankow.html,am 08.12.2019
Weihnachtsmarkt auf Schloss Britz in Berlin-Neukölln,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsmarkt-auf-schloss-britz-in-berlin-neukoelln.html,ab 13.12.2019
KiezWeihnacht in Berlin-Friedrichshain,https://www.weihnachtsmaerkte-in-deutschland.de/kiezweihnacht-in-berlin-friedrichshain.html,ab 14.12.2019
Adventsmarkt auf der Domäne Dahlem in Berlin,https://www.weihnachtsmaerkte-in-deutschland.de/adventsmarkt-auf-der-domaene-dahlem-in-berlin.html,ab 14.12.2019
Weihnachtsmarkt bei Späth in Berlin-Treptow,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsmarkt-bei-spaeth-in-berlin-treptow.html,ab 14.12.2019
Weihnachts- und Umweltmarkt in Berlin-Mitte,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachts-und-umweltmarkt-in-berlin-mitte.html,ab 14.12.2019
Öko-Adventsmarkt in Berlin-Pankow,https://www.weihnachtsmaerkte-in-deutschland.de/oeko-adventsmarkt-in-berlin-pankow.html,am 15.12.2019
Weihnachtsmarkt auf Schloss Britz in Berlin-Neukölln,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachtsmarkt-auf-schloss-britz-in-berlin-neukoelln.html,ab 20.12.2019
Weihnachts- und Umweltmarkt in Berlin-Mitte,https://www.weihnachtsmaerkte-in-deutschland.de/weihnachts-und-umweltmarkt-in-berlin-mitte.html,ab 21.12.2019
Adventsmarkt auf der Domäne Dahlem in Berlin,https://www.weihnachtsmaerkte-in-deutschland.de/adventsmarkt-auf-der-domaene-dahlem-in-berlin.html,ab 21.12.2019
Öko-Adventsmarkt in Berlin-Pankow,https://www.weihnachtsmaerkte-in-deutschland.de/oeko-adventsmarkt-in-berlin-pankow.html,am 22.12.2019